STRO,2017-04-30,1992
STRO,2017-04-27,629
STRO,2017-04-25,153
STRO,2017-04-22,1917
STRO,2017-04-28,2193
STRO,2017-04-29,2935
STRO,2017-04-23,313
STRO,2017-04-24,20
STRO,2017-04-26,205
STRO,2017-04-21,2500
BINO,2017-04-30,12569
BINO,2017-04-27,1630
BINO,2017-04-25,1191
BINO,2017-04-22,5635
BINO,2017-04-28,1320
BINO,2017-04-29,1803
BINO,2017-04-23,918
BINO,2017-04-24,648
BINO,2017-04-26,973
BINO,2017-04-21,5592
KOUT,2017-04-30,68694
KOUT,2017-04-27,46828
KOUT,2017-04-25,52320
KOUT,2017-04-22,71906
KOUT,2017-04-28,47819
KOUT,2017-04-29,54341
KOUT,2017-04-23,52050
KOUT,2017-04-24,35246
KOUT,2017-04-26,35445
KOUT,2017-04-21,77954
UA2,2017-04-30,12269
UA2,2017-04-27,1152
UA2,2017-04-25,1020
UA2,2017-04-22,6078
UA2,2017-04-28,1500
UA2,2017-04-29,1991
UA2,2017-04-23,748
UA2,2017-04-24,126
UA2,2017-04-26,980
UA2,2017-04-21,6539
SHAN,2017-04-30,81741
SHAN,2017-04-27,57063
SHAN,2017-04-25,62066
SHAN,2017-04-22,84479
SHAN,2017-04-28,57989
SHAN,2017-04-29,64101
SHAN,2017-04-23,64634
SHAN,2017-04-24,47031
SHAN,2017-04-26,46032
SHAN,2017-04-21,86531
LA2,2017-04-30,12574
LA2,2017-04-27,938
LA2,2017-04-25,1125
LA2,2017-04-22,7258
LA2,2017-04-28,1536
LA2,2017-04-29,1886
LA2,2017-04-23,1552
LA2,2017-04-24,294
LA2,2017-04-26,1047
LA2,2017-04-21,6117
SOHA,2017-04-30,17637
SOHA,2017-04-27,12319
SOHA,2017-04-25,8192
SOHA,2017-04-22,5625
SOHA,2017-04-28,11374
SOHA,2017-04-29,14191
SOHA,2017-04-23,11357
SOHA,2017-04-24,7190
SOHA,2017-04-26,9891
SOHA,2017-04-21,13831
SHW,2017-04-30,17471
SHW,2017-04-27,14781
SHW,2017-04-25,14700
SHW,2017-04-22,20630
SHW,2017-04-28,17677
SHW,2017-04-29,19132
SHW,2017-04-23,12189
SHW,2017-04-24,8282
SHW,2017-04-26,7861
SHW,2017-04-21,19930
CHIM,2017-04-30,20673
CHIM,2017-04-27,11848
CHIM,2017-04-25,9565
CHIM,2017-04-22,15815
CHIM,2017-04-28,8854
CHIM,2017-04-29,17501
CHIM,2017-04-23,10698
CHIM,2017-04-24,7042
CHIM,2017-04-26,10753
CHIM,2017-04-21,18214
RE28,2017-04-30,76961
RE28,2017-04-27,58821
RE28,2017-04-25,58045
RE28,2017-04-22,70502
RE28,2017-04-28,55004
RE28,2017-04-29,66766
RE28,2017-04-23,60994
RE28,2017-04-24,42587
RE28,2017-04-26,47743
RE28,2017-04-21,75985
